_id,state_id,state_abbr,year,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
ObjectId("5ea70f340e7500002003614d"),5,AZ,1980,2715357,17673,279,1227,5258,10909,204193,58527,132814,12852
ObjectId("5ea70f340e7500002003614e"),5,AZ,1990,3665228,23911,284,1500,5897,16230,265229,61206,172375,31648
ObjectId("5ea70f340e7500002003614f"),5,AZ,1991,3750000,25152,291,1590,6215,17056,252559,60281,159987,32291
ObjectId("5ea70f340e75000020036150"),5,AZ,1994,4075000,28653,426,1465,6601,20161,294273,60157,190649,43467
ObjectId("5ea70f340e75000020036151"),5,AZ,1995,4218000,30095,439,1418,7329,20909,316355,59762,207763,48830
ObjectId("5ea70f340e75000020036152"),5,AZ,1996,4428000,27963,377,1381,7429,18776,284964,55630,188300,41034
ObjectId("5ea70f340e75000020036153"),5,AZ,1997,4555000,28411,375,1492,7547,18997,299323,60077,195045,44201
ObjectId("5ea70f340e75000020036154"),5,AZ,2015,6817565,27968,306,2268,6360,18193,207184,38010,152388,16786
ObjectId("5ea70f340e75000020036155"),5,AZ,1981,2793000,16082,227,1064,4961,9830,196575,57655,127469,11451
ObjectId("5ea70f340e75000020036156"),5,AZ,1983,2963000,14642,213,1241,3923,9265,174740,49440,114721,10579
ObjectId("5ea70f340e75000020036157"),5,AZ,1984,3053000,15756,238,1316,4003,10199,182670,52327,118604,11739
ObjectId("5ea70f340e75000020036158"),5,AZ,1992,3832000,25706,312,1647,5867,17880,243629,54095,158053,31481
ObjectId("5ea70f340e75000020036159"),5,AZ,1993,3936000,28142,339,1488,6412,19903,264371,57684,172689,33998
ObjectId("5ea70f340e7500002003615a"),5,AZ,2017,7048876,35647,422,,7440,24163,204999,37722,148251,19026
ObjectId("5ea70f340e7500002003615b"),5,AZ,2018,7171646,34058,369,,6523,23528,191974,31532,141303,19139
ObjectId("5ea70f340e7500002003615c"),5,AZ,1998,4669000,26984,376,1451,7715,17442,280001,56473,183137,40391
ObjectId("5ea70f340e7500002003615d"),5,AZ,1999,4778332,26334,384,1383,7288,17279,255401,49423,167731,38247
ObjectId("5ea70f340e7500002003615e"),5,AZ,2000,5130632,27281,359,1577,7504,17841,271811,51902,176705,43204
ObjectId("5ea70f340e7500002003615f"),5,AZ,2001,5306966,28675,400,1518,8868,17889,293874,54821,186850,52203
ObjectId("5ea70f340e75000020036160"),5,AZ,2002,5441125,30171,387,1608,8000,20176,318296,59087,201541,57668
ObjectId("5ea70f340e75000020036161"),5,AZ,2003,5579222,28638,441,1856,7619,18722,314335,58613,198725,56997
ObjectId("5ea70f340e75000020036162"),5,AZ,2004,5739879,28952,414,1896,7721,18921,291203,56885,179012,55306
ObjectId("5ea70f340e75000020036163"),5,AZ,2005,5953007,30478,445,2006,8579,19448,287345,56328,176112,54905
ObjectId("5ea70f340e75000020036164"),5,AZ,2006,6166318,33456,533,2449,9491,20983,294389,59418,178321,56650
ObjectId("5ea70f340e75000020036165"),5,AZ,2007,6338755,32835,548,2353,9764,20170,287308,59988,177076,50244
ObjectId("5ea70f340e75000020036166"),5,AZ,2008,6500180,31567,462,2200,9809,19096,266653,58606,169460,38587
ObjectId("5ea70f340e75000020036167"),5,AZ,2009,6595778,28128,380,2279,8199,17270,236721,54308,155976,26437
ObjectId("5ea70f340e75000020036168"),5,AZ,2010,6413158,26528,408,2191,6953,16976,226802,50932,154137,21733
ObjectId("5ea70f340e75000020036169"),5,AZ,2011,6467315,26789,397,2499,7145,16748,229896,54695,155400,19801
ObjectId("5ea70f340e7500002003616a"),5,AZ,2012,6551149,28077,358,2282,7383,18054,231701,52911,159808,18982
ObjectId("5ea70f340e7500002003616b"),5,AZ,1982,2860000,14785,236,1100,4537,8912,189161,53861,124723,10577
ObjectId("5ea70f340e7500002003616c"),5,AZ,1985,3187000,19202,254,1458,4670,12820,207591,59585,135720,12286
ObjectId("5ea70f340e7500002003616d"),5,AZ,1979,2450000,14528,219,1120,4305,8884,177977,48916,116976,12085
ObjectId("5ea70f340e7500002003616e"),5,AZ,1986,3317000,21835,307,1425,5614,14489,221015,63278,143845,13892
