_id,Average high in ºF Av_ high Hi,Average low in ºF Av_ low Lo,Av_ precipitation in inch Av_ precip_ Pre_,State,_row
ObjectId("5ea733140e75000020056fd8"),87,73,8.99,New Jersey,Sep29
ObjectId("5ea733140e75000020056fd9"),84,69,6.69,New Jersey,Oct29
ObjectId("5ea733140e75000020056fda"),80,63,2.97,New Jersey,Nov29
ObjectId("5ea733140e75000020056fdb"),76,58,1.62,New Jersey,Dec29
ObjectId("5ea733140e75000020056fdc"),74,55,2.14,New Mexico,Jan30
ObjectId("5ea733140e75000020056fdd"),76,56,2.36,New Mexico,Feb30
ObjectId("5ea733140e75000020056fde"),78,59,2.91,New Mexico,Mar30
ObjectId("5ea733140e75000020056fdf"),81,62,3.01,New Mexico,Apr30
ObjectId("5ea733140e75000020056fe0"),85,67,5.34,New Mexico,May30
ObjectId("5ea733140e75000020056fe1"),87,72,10.07,New Mexico,Jun30
ObjectId("5ea733140e75000020056fe2"),88,73,6.8,New Mexico,Jul30
ObjectId("5ea733140e75000020056fe3"),89,73,9.7,New Mexico,Aug30
ObjectId("5ea733140e75000020056fe4"),87,73,8.99,New Mexico,Sep30
ObjectId("5ea733140e75000020056fe5"),84,69,6.69,New Mexico,Oct30
ObjectId("5ea733140e75000020056fe6"),80,63,2.97,New Mexico,Nov30
ObjectId("5ea733140e75000020056fe7"),76,58,1.62,New Mexico,Dec30
ObjectId("5ea733140e75000020056fe8"),74,55,2.14,New York,Jan31
ObjectId("5ea733140e75000020056fe9"),76,56,2.36,New York,Feb31
ObjectId("5ea733140e75000020056fea"),78,59,2.91,New York,Mar31
ObjectId("5ea733140e75000020056feb"),81,62,3.01,New York,Apr31
ObjectId("5ea733140e75000020056fec"),85,67,5.34,New York,May31
ObjectId("5ea733140e75000020056fed"),87,72,10.07,New York,Jun31
ObjectId("5ea733140e75000020056fee"),88,73,6.8,New York,Jul31
ObjectId("5ea733140e75000020056fef"),89,73,9.7,New York,Aug31
ObjectId("5ea733140e75000020056ff0"),87,73,8.99,New York,Sep31
ObjectId("5ea733140e75000020056ff1"),84,69,6.69,New York,Oct31
ObjectId("5ea733140e75000020056ff2"),80,63,2.97,New York,Nov31
ObjectId("5ea733140e75000020056ff3"),76,58,1.62,New York,Dec31
ObjectId("5ea733140e75000020056ff4"),74,55,2.14,North Carolina,Jan32
ObjectId("5ea733140e75000020056ff5"),76,56,2.36,North Carolina,Feb32
ObjectId("5ea733140e75000020056ff6"),78,59,2.91,North Carolina,Mar32
ObjectId("5ea733140e75000020056ff7"),81,62,3.01,North Carolina,Apr32
ObjectId("5ea733140e75000020056ff8"),85,67,5.34,North Carolina,May32
ObjectId("5ea733140e75000020056ff9"),87,72,10.07,North Carolina,Jun32
ObjectId("5ea733140e75000020056ffa"),88,73,6.8,North Carolina,Jul32
ObjectId("5ea733140e75000020056ffb"),89,73,9.7,North Carolina,Aug32
ObjectId("5ea733140e75000020056ffc"),87,73,8.99,North Carolina,Sep32
ObjectId("5ea733140e75000020056ffd"),84,69,6.69,North Carolina,Oct32
ObjectId("5ea733140e75000020056ffe"),80,63,2.97,North Carolina,Nov32
ObjectId("5ea733140e75000020056fff"),76,58,1.62,North Carolina,Dec32
ObjectId("5ea733140e75000020057000"),74,55,2.14,North Dakota,Jan33
ObjectId("5ea733140e75000020057001"),76,56,2.36,North Dakota,Feb33
ObjectId("5ea733140e75000020057002"),78,59,2.91,North Dakota,Mar33
ObjectId("5ea733140e75000020057003"),81,62,3.01,North Dakota,Apr33
ObjectId("5ea733140e75000020057004"),85,67,5.34,North Dakota,May33
ObjectId("5ea733140e75000020057005"),87,72,10.07,North Dakota,Jun33
ObjectId("5ea733140e75000020057006"),88,73,6.8,North Dakota,Jul33
ObjectId("5ea733140e75000020057007"),89,73,9.7,North Dakota,Aug33
ObjectId("5ea733140e75000020057008"),87,73,8.99,North Dakota,Sep33
ObjectId("5ea733140e75000020057009"),84,69,6.69,North Dakota,Oct33
ObjectId("5ea733140e7500002005700a"),80,63,2.97,North Dakota,Nov33
ObjectId("5ea733140e7500002005700b"),76,58,1.62,North Dakota,Dec33
ObjectId("5ea733140e7500002005700c"),36,20,9.65,Ohio,Jan34
ObjectId("5ea733140e7500002005700d"),40,24,6.97,Ohio,Feb34
ObjectId("5ea733140e7500002005700e"),52,32,6.1,Ohio,Mar34
ObjectId("5ea733140e7500002005700f"),63,41,3.23,Ohio,Apr34
ObjectId("5ea733140e75000020057010"),73,52,3.5,Ohio,May34
ObjectId("5ea733140e75000020057011"),82,61,3.98,Ohio,Jun34
ObjectId("5ea733140e75000020057012"),85,65,4.06,Ohio,Jul34
ObjectId("5ea733140e75000020057013"),84,63,3.11,Ohio,Aug34
ObjectId("5ea733140e75000020057014"),77,56,2.64,Ohio,Sep34
ObjectId("5ea733140e75000020057015"),65,44,1.65,Ohio,Oct34
ObjectId("5ea733140e75000020057016"),52,35,3.82,Ohio,Nov34
ObjectId("5ea733140e75000020057017"),41,26,7.4,Ohio,Dec34
ObjectId("5ea733140e75000020057018"),50,29,1.39,Oklahoma,Jan35
ObjectId("5ea733140e75000020057019"),55,33,1.58,Oklahoma,Feb35
ObjectId("5ea733140e7500002005701a"),63,41,3.06,Oklahoma,Mar35
ObjectId("5ea733140e7500002005701b"),72,50,3.07,Oklahoma,Apr35
ObjectId("5ea733140e7500002005701c"),80,60,4.65,Oklahoma,May35
ObjectId("5ea733140e7500002005701d"),88,68,4.93,Oklahoma,Jun35
ObjectId("5ea733140e7500002005701e"),94,72,2.93,Oklahoma,Jul35
ObjectId("5ea733140e7500002005701f"),93,71,3.28,Oklahoma,Aug35
ObjectId("5ea733140e75000020057020"),85,63,4.06,Oklahoma,Sep35
ObjectId("5ea733140e75000020057021"),73,52,3.71,Oklahoma,Oct35
ObjectId("5ea733140e75000020057022"),62,40,1.98,Oklahoma,Nov35
ObjectId("5ea733140e75000020057023"),51,31,1.88,Oklahoma,Dec35
ObjectId("5ea733140e75000020057024"),48,35,5.96,Oregon,Jan36
ObjectId("5ea733140e75000020057025"),52,35,4.56,Oregon,Feb36
ObjectId("5ea733140e75000020057026"),56,37,3.99,Oregon,Mar36
ObjectId("5ea733140e75000020057027"),61,40,2.81,Oregon,Apr36
ObjectId("5ea733140e75000020057028"),68,45,2.22,Oregon,May36
ObjectId("5ea733140e75000020057029"),74,49,1.55,Oregon,Jun36
ObjectId("5ea733140e7500002005702a"),82,53,0.46,Oregon,Jul36
ObjectId("5ea733140e7500002005702b"),82,53,0.45,Oregon,Aug36
ObjectId("5ea733140e7500002005702c"),77,48,1.28,Oregon,Sep36
ObjectId("5ea733140e7500002005702d"),64,42,3.03,Oregon,Oct36
ObjectId("5ea733140e7500002005702e"),53,38,6.5,Oregon,Nov36
ObjectId("5ea733140e7500002005702f"),46,34,6.86,Oregon,Dec36
ObjectId("5ea733140e75000020057030"),40,26,3.03,Pennsylvania,Jan37
ObjectId("5ea733140e75000020057031"),44,28,2.65,Pennsylvania,Feb37
ObjectId("5ea733140e75000020057032"),53,34,3.79,Pennsylvania,Mar37
ObjectId("5ea733140e75000020057033"),64,44,3.56,Pennsylvania,Apr37
ObjectId("5ea733140e75000020057034"),74,54,3.71,Pennsylvania,May37
ObjectId("5ea733140e75000020057035"),83,64,3.43,Pennsylvania,Jun37
ObjectId("5ea733140e75000020057036"),87,69,4.35,Pennsylvania,Jul37
ObjectId("5ea733140e75000020057037"),85,68,3.5,Pennsylvania,Aug37
ObjectId("5ea733140e75000020057038"),78,60,3.78,Pennsylvania,Sep37
ObjectId("5ea733140e75000020057039"),67,48,3.18,Pennsylvania,Oct37
ObjectId("5ea733140e7500002005703a"),56,39,2.99,Pennsylvania,Nov37
ObjectId("5ea733140e7500002005703b"),45,30,3.56,Pennsylvania,Dec37
ObjectId("5ea733140e7500002005703c"),74,55,2.14,Rhode Island,Jan38
ObjectId("5ea733140e7500002005703d"),76,56,2.36,Rhode Island,Feb38
ObjectId("5ea733140e7500002005703e"),78,59,2.91,Rhode Island,Mar38
ObjectId("5ea733140e7500002005703f"),81,62,3.01,Rhode Island,Apr38
ObjectId("5ea733140e75000020057040"),85,67,5.34,Rhode Island,May38
ObjectId("5ea733140e75000020057041"),87,72,10.07,Rhode Island,Jun38
ObjectId("5ea733140e75000020057042"),88,73,6.8,Rhode Island,Jul38
ObjectId("5ea733140e75000020057043"),89,73,9.7,Rhode Island,Aug38
ObjectId("5ea733140e75000020057044"),87,73,8.99,Rhode Island,Sep38
ObjectId("5ea733140e75000020057045"),84,69,6.69,Rhode Island,Oct38
ObjectId("5ea733140e75000020057046"),80,63,2.97,Rhode Island,Nov38
ObjectId("5ea733140e75000020057047"),76,58,1.62,Rhode Island,Dec38
ObjectId("5ea733140e75000020057048"),74,55,2.14,South Carolina,Jan39
ObjectId("5ea733140e75000020057049"),76,56,2.36,South Carolina,Feb39
ObjectId("5ea733140e7500002005704a"),78,59,2.91,South Carolina,Mar39
ObjectId("5ea733140e7500002005704b"),81,62,3.01,South Carolina,Apr39
ObjectId("5ea733140e7500002005704c"),85,67,5.34,South Carolina,May39
ObjectId("5ea733140e7500002005704d"),87,72,10.07,South Carolina,Jun39
ObjectId("5ea733140e7500002005704e"),88,73,6.8,South Carolina,Jul39
ObjectId("5ea733140e7500002005704f"),89,73,9.7,South Carolina,Aug39
ObjectId("5ea733140e75000020057050"),87,73,8.99,South Carolina,Sep39
ObjectId("5ea733140e75000020057051"),84,69,6.69,South Carolina,Oct39
ObjectId("5ea733140e75000020057052"),80,63,2.97,South Carolina,Nov39
ObjectId("5ea733140e75000020057053"),76,58,1.62,South Carolina,Dec39
ObjectId("5ea733140e75000020057054"),74,55,2.14,South Dakota,Jan40
ObjectId("5ea733140e75000020057055"),76,56,2.36,South Dakota,Feb40
ObjectId("5ea733140e75000020057056"),78,59,2.91,South Dakota,Mar40
ObjectId("5ea733140e75000020057057"),81,62,3.01,South Dakota,Apr40
ObjectId("5ea733140e75000020057058"),85,67,5.34,South Dakota,May40
ObjectId("5ea733140e75000020057059"),87,72,10.07,South Dakota,Jun40
ObjectId("5ea733140e7500002005705a"),88,73,6.8,South Dakota,Jul40
ObjectId("5ea733140e7500002005705b"),89,73,9.7,South Dakota,Aug40
ObjectId("5ea733140e7500002005705c"),87,73,8.99,South Dakota,Sep40
ObjectId("5ea733140e7500002005705d"),84,69,6.69,South Dakota,Oct40
ObjectId("5ea733140e7500002005705e"),80,63,2.97,South Dakota,Nov40
ObjectId("5ea733140e7500002005705f"),76,58,1.62,South Dakota,Dec40
ObjectId("5ea733140e75000020057060"),50,33,3.98,Tennessee,Jan41
ObjectId("5ea733140e75000020057061"),55,36,4.39,Tennessee,Feb41
ObjectId("5ea733140e75000020057062"),64,44,5.16,Tennessee,Mar41
ObjectId("5ea733140e75000020057063"),73,53,5.5,Tennessee,Apr41
ObjectId("5ea733140e75000020057064"),81,62,5.25,Tennessee,May41
ObjectId("5ea733140e75000020057065"),89,70,3.63,Tennessee,Jun41
ObjectId("5ea733140e75000020057066"),92,74,4.59,Tennessee,Jul41
ObjectId("5ea733140e75000020057067"),91,73,2.88,Tennessee,Aug41
ObjectId("5ea733140e75000020057068"),85,65,3.09,Tennessee,Sep41
ObjectId("5ea733140e75000020057069"),74,54,3.98,Tennessee,Oct41
ObjectId("5ea733140e7500002005706a"),63,44,5.49,Tennessee,Nov41
ObjectId("5ea733140e7500002005706b"),52,35,5.74,Tennessee,Dec41
ObjectId("5ea733140e7500002005706c"),62,42,2.22,Texas,Jan42
ObjectId("5ea733140e7500002005706d"),65,45,2.02,Texas,Feb42
ObjectId("5ea733140e7500002005706e"),72,51,2.76,Texas,Mar42
ObjectId("5ea733140e7500002005706f"),80,59,2.09,Texas,Apr42
ObjectId("5ea733140e75000020057070"),87,67,4.36,Texas,May42
ObjectId("5ea733140e75000020057071"),92,72,4.33,Texas,Jun42
ObjectId("5ea733140e75000020057072"),96,74,1.88,Texas,Jul42
ObjectId("5ea733140e75000020057073"),97,75,2.35,Texas,Aug42
ObjectId("5ea733140e75000020057074"),91,69,2.99,Texas,Sep42
ObjectId("5ea733140e75000020057075"),82,61,3.88,Texas,Oct42
ObjectId("5ea733140e75000020057076"),71,51,2.96,Texas,Nov42
ObjectId("5ea733140e75000020057077"),63,42,2.4,Texas,Dec42
ObjectId("5ea733140e75000020057078"),38,26,1.45,Utah,Jan43
ObjectId("5ea733140e75000020057079"),44,31,1.48,Utah,Feb43
ObjectId("5ea733140e7500002005707a"),53,38,2.22,Utah,Mar43
ObjectId("5ea733140e7500002005707b"),61,43,2.33,Utah,Apr43
ObjectId("5ea733140e7500002005707c"),71,52,2.1,Utah,May43
ObjectId("5ea733140e7500002005707d"),82,61,1.13,Utah,Jun43
ObjectId("5ea733140e7500002005707e"),90,69,0.59,Utah,Jul43
ObjectId("5ea733140e7500002005707f"),89,67,0.71,Utah,Aug43
ObjectId("5ea733140e75000020057080"),78,58,1.52,Utah,Sep43
ObjectId("5ea733140e75000020057081"),65,46,1.64,Utah,Oct43
ObjectId("5ea733140e75000020057082"),50,36,1.78,Utah,Nov43
ObjectId("5ea733140e75000020057083"),40,27,1.62,Utah,Dec43
ObjectId("5ea733140e75000020057084"),27,10,2.06,Vermont,Jan44
ObjectId("5ea733140e75000020057085"),31,13,1.76,Vermont,Feb44
ObjectId("5ea733140e75000020057086"),40,22,2.22,Vermont,Mar44
ObjectId("5ea733140e75000020057087"),55,35,2.82,Vermont,Apr44
ObjectId("5ea733140e75000020057088"),67,45,3.45,Vermont,May44
ObjectId("5ea733140e75000020057089"),76,55,3.69,Vermont,Jun44
ObjectId("5ea733140e7500002005708a"),81,60,4.16,Vermont,Jul44
ObjectId("5ea733140e7500002005708b"),79,58,3.91,Vermont,Aug44
ObjectId("5ea733140e7500002005708c"),70,51,3.64,Vermont,Sep44
ObjectId("5ea733140e7500002005708d"),57,39,3.6,Vermont,Oct44
ObjectId("5ea733140e7500002005708e"),46,31,3.13,Vermont,Nov44
ObjectId("5ea733140e7500002005708f"),33,19,2.38,Vermont,Dec44
ObjectId("5ea733140e75000020057090"),47,28,3.03,Virginia,Jan45
ObjectId("5ea733140e75000020057091"),51,31,2.72,Virginia,Feb45
ObjectId("5ea733140e75000020057092"),60,37,4.02,Virginia,Mar45
ObjectId("5ea733140e75000020057093"),70,46,3.23,Virginia,Apr45
ObjectId("5ea733140e75000020057094"),78,55,3.78,Virginia,May45
ObjectId("5ea733140e75000020057095"),86,65,3.9,Virginia,Jun45
ObjectId("5ea733140e75000020057096"),90,69,4.49,Virginia,Jul45
ObjectId("5ea733140e75000020057097"),88,67,4.65,Virginia,Aug45
ObjectId("5ea733140e75000020057098"),81,60,4.09,Virginia,Sep45
ObjectId("5ea733140e75000020057099"),71,48,2.95,Virginia,Oct45
ObjectId("5ea733140e7500002005709a"),61,39,3.23,Virginia,Nov45
ObjectId("5ea733140e7500002005709b"),51,31,3.23,Virginia,Dec45
ObjectId("5ea733140e7500002005709c"),47,37,5.55,Washington,Jan46
ObjectId("5ea733140e7500002005709d"),50,37,3.46,Washington,Feb46
ObjectId("5ea733140e7500002005709e"),54,39,3.7,Washington,Mar46
ObjectId("5ea733140e7500002005709f"),58,42,2.68,Washington,Apr46
ObjectId("5ea733140e750000200570a0"),65,47,1.93,Washington,May46
ObjectId("5ea733140e750000200570a1"),70,52,1.54,Washington,Jun46
ObjectId("5ea733140e750000200570a2"),76,56,0.67,Washington,Jul46
ObjectId("5ea733140e750000200570a3"),76,56,0.87,Washington,Aug46
ObjectId("5ea733140e750000200570a4"),71,52,1.42,Washington,Sep46
ObjectId("5ea733140e750000200570a5"),60,46,3.46,Washington,Oct46
ObjectId("5ea733140e750000200570a6"),51,40,6.54,Washington,Nov46
ObjectId("5ea733140e750000200570a7"),46,36,5.31,Washington,Dec46
ObjectId("5ea733140e750000200570a8"),74,55,2.14,West Virginia,Jan47
ObjectId("5ea733140e750000200570a9"),76,56,2.36,West Virginia,Feb47
ObjectId("5ea733140e750000200570aa"),78,59,2.91,West Virginia,Mar47
ObjectId("5ea733140e750000200570ab"),81,62,3.01,West Virginia,Apr47
ObjectId("5ea733140e750000200570ac"),85,67,5.34,West Virginia,May47
ObjectId("5ea733140e750000200570ad"),87,72,10.07,West Virginia,Jun47
ObjectId("5ea733140e750000200570ae"),88,73,6.8,West Virginia,Jul47
ObjectId("5ea733140e750000200570af"),89,73,9.7,West Virginia,Aug47
ObjectId("5ea733140e750000200570b0"),87,73,8.99,West Virginia,Sep47
ObjectId("5ea733140e750000200570b1"),84,69,6.69,West Virginia,Oct47
ObjectId("5ea733140e750000200570b2"),80,63,2.97,West Virginia,Nov47
ObjectId("5ea733140e750000200570b3"),76,58,1.62,West Virginia,Dec47
ObjectId("5ea733140e750000200570b4"),29,16,1.73,Wisconsin,Jan48
ObjectId("5ea733140e750000200570b5"),33,19,1.61,Wisconsin,Feb48
ObjectId("5ea733140e750000200570b6"),42,28,2.24,Wisconsin,Mar48
ObjectId("5ea733140e750000200570b7"),54,37,3.54,Wisconsin,Apr48
ObjectId("5ea733140e750000200570b8"),65,47,3.39,Wisconsin,May48
ObjectId("5ea733140e750000200570b9"),75,57,3.9,Wisconsin,Jun48
ObjectId("5ea733140e750000200570ba"),80,64,3.66,Wisconsin,Jul48
ObjectId("5ea733140e750000200570bb"),78,63,3.94,Wisconsin,Aug48
ObjectId("5ea733140e750000200570bc"),71,55,3.15,Wisconsin,Sep48
ObjectId("5ea733140e750000200570bd"),59,43,2.64,Wisconsin,Oct48
ObjectId("5ea733140e750000200570be"),46,32,2.68,Wisconsin,Nov48
ObjectId("5ea733140e750000200570bf"),33,20,2.01,Wisconsin,Dec48
ObjectId("5ea733140e750000200570c0"),40,18,0.31,Wyoming,Jan49
ObjectId("5ea733140e750000200570c1"),40,19,0.43,Wyoming,Feb49
ObjectId("5ea733140e750000200570c2"),47,24,1.02,Wyoming,Mar49
ObjectId("5ea733140e750000200570c3"),55,31,1.77,Wyoming,Apr49
ObjectId("5ea733140e750000200570c4"),65,40,2.32,Wyoming,May49
ObjectId("5ea733140e750000200570c5"),75,49,2.32,Wyoming,Jun49
ObjectId("5ea733140e750000200570c6"),83,56,2.17,Wyoming,Jul49
ObjectId("5ea733140e750000200570c7"),81,54,1.93,Wyoming,Aug49
ObjectId("5ea733140e750000200570c8"),72,45,1.46,Wyoming,Sep49
ObjectId("5ea733140e750000200570c9"),59,34,0.91,Wyoming,Oct49
ObjectId("5ea733140e750000200570ca"),47,24,0.55,Wyoming,Nov49
ObjectId("5ea733140e750000200570cb"),38,17,0.47,Wyoming,Dec49
