_id,Average high in ºF Av_ high Hi,Average low in ºF Av_ low Lo,Av_ precipitation in inch Av_ precip_ Pre_,State,_row
ObjectId("5ea733140e75000020056fbc"),71,41,0.44,Nevada,May27
ObjectId("5ea733140e75000020056fbd"),81,47,0.44,Nevada,Jun27
ObjectId("5ea733140e75000020056fbe"),90,52,0.18,Nevada,Jul27
ObjectId("5ea733140e75000020056fbf"),88,51,0.23,Nevada,Aug27
ObjectId("5ea733140e75000020056fc0"),80,43,0.4,Nevada,Sep27
ObjectId("5ea733140e75000020056fc1"),68,35,0.69,Nevada,Oct27
ObjectId("5ea733140e75000020056fc2"),54,27,1.24,Nevada,Nov27
ObjectId("5ea733140e75000020056fc3"),45,22,1.35,Nevada,Dec27
ObjectId("5ea733140e75000020056fc4"),74,55,2.14,New Hampshire,Jan28
ObjectId("5ea733140e75000020056fc5"),76,56,2.36,New Hampshire,Feb28
ObjectId("5ea733140e75000020056fc6"),78,59,2.91,New Hampshire,Mar28
ObjectId("5ea733140e75000020056fc7"),81,62,3.01,New Hampshire,Apr28
ObjectId("5ea733140e75000020056fc8"),85,67,5.34,New Hampshire,May28
ObjectId("5ea733140e75000020056fc9"),87,72,10.07,New Hampshire,Jun28
ObjectId("5ea733140e75000020056fca"),88,73,6.8,New Hampshire,Jul28
ObjectId("5ea733140e75000020056fcb"),89,73,9.7,New Hampshire,Aug28
ObjectId("5ea733140e75000020056fcc"),87,73,8.99,New Hampshire,Sep28
ObjectId("5ea733140e75000020056fcd"),84,69,6.69,New Hampshire,Oct28
ObjectId("5ea733140e75000020056fce"),80,63,2.97,New Hampshire,Nov28
ObjectId("5ea733140e75000020056fcf"),76,58,1.62,New Hampshire,Dec28
ObjectId("5ea733140e75000020056fd0"),74,55,2.14,New Jersey,Jan29
ObjectId("5ea733140e75000020056fd1"),76,56,2.36,New Jersey,Feb29
ObjectId("5ea733140e75000020056fd2"),78,59,2.91,New Jersey,Mar29
ObjectId("5ea733140e75000020056fd3"),81,62,3.01,New Jersey,Apr29
ObjectId("5ea733140e75000020056fd4"),85,67,5.34,New Jersey,May29
ObjectId("5ea733140e75000020056fd5"),87,72,10.07,New Jersey,Jun29
ObjectId("5ea733140e75000020056fd6"),88,73,6.8,New Jersey,Jul29
ObjectId("5ea733140e75000020056fd7"),89,73,9.7,New Jersey,Aug29
